"hola" "hello" "OH-lah"
"buenos días" "good morning" "BWAY-nohs DEE-ahs"
"yo" "I" "yoh"
"soy" "am" "soy"
"un" "a" "oon"
"una" "a" "OO-nah"
"hombre" "man" "OHM-bray"
"mujer" "woman" "moo-HAIR"
"niño" "boy" "NEEN-yoh"
"niña" "girl" "NEEN-yah"
"el" "the" "ehl"
"la" "the" "lah"
"él" "he" "ehl"
"ella" "she" "AY-yah"
"es" "is" "ehs"
"usted" "you" "oos-TEHD"
"tú" "you" "too"
"eres" "are" "EH-rehs"
"manzana" "apple" "mahn-SAH-nah"
"pan" "bread" "pahn"
"leche" "milk" "LAY-chay"
"agua" "water" "AH-gwah"
"come" "eats" "KOH-may"
"bebe" "drinks" "BAY-bay"
"gracias" "thank you" "GRAH-syahs"
"de nada" "you're welcome" "day NAH-dah"
"por favor" "please" "por fah-VOHR"
"perdón" "excuse me" "pair-DOHN"
"lo siento" "I'm sorry" "loh SYEHN-toh"
"sí" "yes" "see"
"no" "no" "noh"
"adiós" "goodbye" "ah-DYOHS"
"mucho gusto" "nice to meet you" "MOO-choh GOOS-toh"
"buenas noches" "good night" "BWAY-nahs NOH-chays"
"taxi" "taxi" "TAHK-see"
"hotel" "hotel" "oh-TEHL"
"aeropuerto" "airport" "ah-ay-roh-PWAIR-toh"
"pasaporte" "passport" "pah-sah-POHR-tay"
"maleta" "suitcase" "mah-LAY-tah"
"teléfono" "phone" "teh-LEH-foh-noh"
"reserva" "reservation" "ray-SAIR-vah"
"mi" "my" "mee"
"tu" "your" "too"
"en" "in" "ehn"
"está" "is" "ehs-TAH"
"dónde" "where" "DOHN-day"
"aquí" "here" "ah-KEE"
"restaurante" "restaurant" "rehs-tow-RAHN-tay"
"mesa" "table" "MAY-sah"
"cuenta" "bill" "KWEHN-tah"
"menú" "menu" "meh-NOO"
"vaso" "glass" "BAH-soh"
"taza" "cup" "TAH-sah"
"sal" "salt" "sahl"
"azúcar" "sugar" "ah-SOO-kar"
"café" "coffee" "kah-FAY"
"té" "tea" "tay"
"jugo" "juice" "HOO-goh"
"carne" "meat" "KAHR-nay"
"pescado" "fish" "pehs-KAH-doh"
"pollo" "chicken" "POY-yoh"
"quiero" "I want" "KYEH-roh"
"quieres" "you want" "KYEH-rehs"
"pagar" "to pay" "pah-GAHR"
"familia" "family" "fah-MEE-lyah"
"padre" "father" "PAH-dray"
"madre" "mother" "MAH-dray"
"hermano" "brother" "air-MAH-noh"
"hermana" "sister" "air-MAH-nah"
"hijo" "son" "EE-hoh"
"hija" "daughter" "EE-hah"
"abuelo" "grandfather" "ah-BWAY-loh"
"abuela" "grandmother" "ah-BWAY-lah"
"esposo" "husband" "ehs-POH-soh"
"esposa" "wife" "ehs-POH-sah"
"perro" "dog" "PAIR-roh"
"gato" "cat" "GAH-toh"
"casa" "house" "KAH-sah"
"vivo" "I live" "BEE-boh"
"vives" "you live" "BEE-behs"
"tengo" "I have" "TEHN-goh"
"tienes" "you have" "TYEH-nehs"
"ropa" "clothes" "ROH-pah"
"camisa" "shirt" "kah-MEE-sah"
"camiseta" "t-shirt" "kah-mee-SEH-tah"
"vestido" "dress" "vehs-TEE-doh"
"falda" "skirt" "FAHL-dah"
"pantalones" "pants" "pahn-tah-LOH-nehs"
"sombrero" "hat" "sohm-BRAY-roh"
"zapatos" "shoes" "sah-PAH-tohs"
"tienda" "store" "TYEHN-dah"
"azul" "blue" "ah-SOOL"
"rojo" "red" "ROH-hoh"
"verde" "green" "BAIR-day"
"amarillo" "yellow" "ah-mah-REE-yoh"
"gris" "gray" "grees"
"negro" "black" "NAY-groh"
"blanco" "white" "BLAHN-koh"
"caro" "expensive" "KAH-roh"
"barato" "cheap" "bah-RAH-toh"
"comprar" "to buy" "kohm-PRAHR"
"libro" "book" "LEE-broh"
"bolígrafo" "pen" "boh-LEE-grah-foh"
"examen" "exam" "ehk-SAH-mehn"
"clase" "class" "KLAH-say"
"escuela" "school" "ehs-KWAY-lah"
"universidad" "university" "oo-nee-bair-see-DAHD"
"estudiante" "student" "ehs-too-DYAHN-tay"
"maestro" "teacher" "mah-EHS-troh"
"maestra" "teacher" "mah-EHS-trah"
"leer" "to read" "leh-AIR"
"escribir" "to write" "ehs-kree-BEER"
"fácil" "easy" "FAH-seel"
"difícil" "dee-FEE-seel"
"español" "Spanish" "ehs-pahn-YOHL"
"inglés" "English" "een-GLAYS"
"mexicano" "Mexican" "meh-hee-KAH-noh"
"americano" "American" "ah-meh-ree-KAH-noh"
"de" "from" "day"
"país" "country" "pah-EES"
